退職,年齢,出張頻度,通勤距離,最終学歴,社員番号,職場環境の満足度,労働意欲,査定ランク,仕事への満足度,月給(ドル),転職回数,昇給率,能力評価,人間関係の満足度,ストックオプション,社会人歴,昨年の研修時間,ワークライフバランス,在職年数,現在の役職年数,昇進からの経過年数,現在の上司になってからの年数,残業_有,性別_男性,配偶者_離婚,配偶者_結婚,配偶者_独身,部署_人事,部署_研究開発,部署_営業,専攻_経営,専攻_科学,専攻_医学,専攻_工学,専攻_人事,専攻_その他,役職_経営層,役職_管理職,役職_主任,役職_一般
Yes,41,1,1,2,1,2,3,2,4,5993,8,11,3,1,0,8,0,1,6,4,0,5,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
No,49,2,8,1,2,3,2,2,2,5130,1,23,4,4,1,10,3,3,10,7,1,7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Yes,37,1,2,2,4,4,2,1,3,2090,6,15,3,2,0,7,3,3,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
No,33,2,3,4,5,4,3,1,3,2909,1,11,3,3,0,8,3,3,8,7,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,27,1,2,1,7,1,3,1,2,3468,9,12,3,4,1,6,3,3,2,2,2,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,32,2,2,2,8,4,3,1,4,3068,0,13,3,3,0,8,2,2,7,7,3,6,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,59,1,3,3,10,3,4,1,1,2670,4,20,4,1,3,12,3,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,30,1,24,1,11,4,3,1,3,2693,1,22,4,2,1,1,2,3,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,38,2,23,3,12,4,2,3,3,9526,0,21,4,2,0,10,2,3,9,7,1,8,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
No,36,1,27,3,13,3,3,2,3,5237,6,13,3,2,2,17,3,2,7,7,7,7,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
No,35,1,16,3,14,1,4,1,2,2426,0,13,3,3,1,6,5,3,5,4,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
No,29,1,15,2,15,4,2,2,3,4193,0,12,3,4,0,10,3,3,9,5,0,8,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
No,31,1,26,1,16,1,3,1,3,2911,1,17,3,4,1,5,1,2,5,2,4,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
No,34,1,19,2,18,2,3,1,4,2661,0,11,3,3,1,3,2,3,2,2,1,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
